Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
118;18312.4413;1448;545;71;0.02;-0.03;-1;-0.16;-0.02;0.02;85.55;51.73;5.66;-524.8554945;-1927.443385;232.5730026;-1.289101066;-1.204940748;46.46938009
119;18416.2678;1444;562;78;0.01;-0.03;-1;-0.4;0.17;0.02;83.2;50.56;4.53;-524.8525739;-1927.455187;232.5909734;-1.291851493;-1.221039281;46.47222268
120;18519.5952;1441;560;71;0.01;-0.03;-1;-0.1;0.29;0.02;85.55;54.09;3.4;-524.8516798;-1927.466154;232.5753868;-1.278761318;-1.25192998;46.46588384
121;18624.3048;1447;553;73;0.02;-0.03;-1;-0.22;0.17;-0.04;85.55;51.73;4.53;-524.8346329;-1927.46532;232.593298;-1.291754539;-1.227347386;46.47934501
122;18815.934;1445;546;69;0.01;-0.03;-1;-0.28;0.04;0.02;86.72;51.73;4.53;-524.8601437;-1927.466869;232.5716317;-1.2832394;-1.179341428;46.46548383
123;18921.8011;1443;539;70;0.02;-0.03;-1;-0.22;-0.02;-0.04;86.72;51.73;3.4;-524.8579383;-1927.461147;232.5766385;-1.295405138;-1.242694263;46.46572682
124;19025.2669;1448;540;75;0.02;-0.03;-0.99;0.21;0.23;0.02;86.72;52.91;5.66;-524.8707533;-1927.477837;232.5671464;-1.299060238;-1.243392378;46.46870936
125;19129.2021;1445;537;72;0.02;-0.03;-1;-0.1;0.23;0.2;89.06;49.38;3.4;-524.8597264;-1927.451372;232.5668484;-1.279763852;-1.22970703;46.46062382
126;19233.133;1458;553;74;0.01;-0.03;-1;-0.1;0.04;-0.04;85.55;52.91;5.66;-524.8522758;-1927.445531;232.5834036;-1.285011742;-1.249124444;46.47346777
127;19336.7553;1453;544;73;0.01;-0.03;-1;-0.34;0.35;0.26;85.55;52.91;5.66;-524.8739719;-1927.461505;232.5710952;-1.291365238;-1.253887706;46.46959789
128;19441.3024;1446;535;71;0.01;-0.03;-1;-0.04;0.35;-0.16;87.89;50.56;4.53;-524.859488;-1927.45924;232.5666398;-1.289109418;-1.274101332;46.46780459
129;19544.6858;1450;531;70;0.02;-0.03;-0.99;-0.22;0.41;0.02;87.89;55.26;3.4;-524.8695612;-1927.461386;232.5702906;-1.292213296;-1.232882174;46.46098964
130;19649.097;1447;545;70;0.01;-0.03;-1;-0.28;0.23;-0.1;86.72;52.91;4.53;-524.8568058;-1927.45769;232.563749;-1.29853636;-1.216314527;46.46693698
131;19753.5184;1456;545;75;0.01;-0.03;-1;-0.4;0.11;-0.1;85.55;54.09;5.66;-524.8604417;-1927.431583;232.5759232;-1.299826924;-1.257007754;46.46864021
